cu_num,M,N,K,kernelId,splitK,us,kernelName,tflops,bw,errRatio
304,216,1280,4096,8,0,14.1938,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,159.57,470.67,0.0
304,216,1536,7168,18,0,25.3791,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,187.41,520.98,0.0
304,216,1792,6144,18,0,22.3181,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,213.12,587.47,0.0
304,216,2112,7168,18,0,26.4853,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,246.93,664.5,0.0
304,216,2304,4096,18,0,16.0949,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,253.3,703.16,0.0
304,216,3072,1536,18,0,9.4213,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,216.36,676.92,0.0
304,216,3584,6144,18,0,27.5873,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,344.82,902.43,0.0
304,216,4096,512,18,0,6.2593,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,144.74,635.41,0.0
304,216,4096,1024,18,0,8.9223,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,203.08,693.2,0.0
304,216,4096,2048,18,0,12.9047,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,280.82,821.44,0.0
304,216,4608,7168,18,0,35.7358,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,399.29,1023.32,0.0
304,216,6144,1536,18,0,15.5336,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,262.45,799.76,0.0
304,216,6144,3072,18,0,25.5366,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,319.3,869.03,0.0
304,216,7168,256,11,0,6.2164,a8w8_blockscale_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,127.52,802.21,0.0
304,216,7168,2048,18,0,19.5959,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,323.63,929.74,0.0
304,216,7168,2304,18,0,20.6731,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,345.11,972.73,0.0
304,224,512,7168,8,0,17.8125,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,92.3,309.05,0.0
304,224,576,7168,8,0,17.9874,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,102.83,333.15,0.0
304,224,1280,4096,8,0,13.1307,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,178.88,512.83,0.0
304,224,1536,7168,8,0,25.1423,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,196.18,529.14,0.0
304,224,1792,6144,7,0,22.7399,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,216.91,580.0,0.0
304,224,2112,7168,18,0,26.5382,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,255.56,666.61,0.0
304,224,2304,4096,18,0,16.4086,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,257.66,693.96,0.0
304,224,3072,1536,18,0,9.458,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,223.51,680.79,0.0
